Scientific Name,English Name,Common Name,SEO Name,Order,Family
Haematopus leucopodus,Magellanic oystercatcher,Pilpilén austral,Ostrero magallánico,Charadriiformes,Haematopodidae
Haematopus palliatus palliatus,American oystercatcher,Pilpilén,Ostrero pio americano,Charadriiformes,Haematopodidae
Halobaena caerulea,Blue petrel,Petrel azulado,Petrel azulado,Procellariiformes,Procellariidae
Herpetotheres cachinnans,Laughing falcon,Halcón reidor,Halcón reidor,Falconiformes,Herpetotherinae
Heteronetta atricapilla,Black-headed duck,Pato rinconero,Pato rinconera,Anseriformes,Anatinae
Himantopus mexicanus melanurus,White-backed stilt,Perrito,Cigüeñuela común,Charadriiformes,Recurvirostridae
Hirundinea ferruginea,Cliff flycatcher,Birro comun,Birro común,Passeriformes,Tyrannidae
Hirundo rustica erythrogaster,Barn swallow,Golondrina bermeja,Golondrina común,Passeriformes,Hirundinidae
Hydrobates  markhami,Markham's storm-petrel,Golondrina de mar negra,Paiño ahumado,Procellariiformes,Hydrobatidae
Hydrobates  tethys,Wedge-rumped storm-petrel,Golondrina de mar peruana,Paiño de las Galápagos,Procellariiformes,Hydrobatidae
Hylocichla mustelina,Wood thrush,Zorzal manchado,Zorzalito maculado,Passeriformes,Turdidae
Hymenops perspicillatus andinus,Spectacled tyrant,Run-run,Viudita picoplata,Passeriformes,Tyrannidae
Icterus galbula,Baltimore oriole,Turpial norteño,Turpial de Baltimore,Passeriformes,Icteridae
Icterus pyrrhopterus,Variable oriole,Turpial variable,Turpial variable,Passeriformes,Icteridae
Idiopsar  dorsalis,Red-backed sierra finch,Cometocino de dorso castaño,Yal dorsirrojo,Passeriformes,Thraupidae
Idiopsar  erythronotus,White-throated sierra-finch,Cometocino de arica,Yal gorjiblanco,Passeriformes,Thraupidae
Idiopsar  speculifera speculifera,White-winged diuca-finch,Diuca de alas blancas,Diuca aliblanca,Passeriformes,Thraupidae
Ixobrychus exilis,Least bittern,Huairavillo de dorso negro,Avetorillo panamericano,Pelecaniformes,Ardeidae
Ixobrychus involucris,Stripe-backed bittern,Huairavillo,Avetorillo listado,Pelecaniformes,Ardeidae
Jacana  jacana,Wattled jacana,Jacana,Jacana suramericana,Charadriiformes,Jacanidae
Knipolegus aterrimus,White-winged black-tyrant,Viudita negra,Viudita aliblanca,Passeriformes,Tyrannidae
Larosterna inca,Inca tern,Gaviotín monja,Charrán inca,Charadriiformes,Sterninae
Larus argentatus,Herring gull,Gaviota argéntea,Gaviota argéntea,Charadriiformes,Larinae
Larus belcheri,Belcher's gull,Gaviota peruana,Gaviota simeón,Charadriiformes,Larinae
Larus dominicanus dominicanus,Kelp gull,Gaviota dominicana,Gaviota cocinera,Charadriiformes,Larinae
Laterallus jamaicensis salinasi,Black rail,Pidencito,Polluela negruzca,Gruiformes,Rallidae
